time                         value
-------------------------  -------
2023-10-28 06:47:03 +0000    42520
2023-10-30 14:45:07 +0000    43308
2023-10-31 23:10:24 +0000    43136
2023-10-31 23:10:24 +0000    43372
2023-11-02 16:08:03 +0000    43264
2023-11-03 17:06:17 +0000    42956
2023-11-04 22:18:06 +0000    43056
2023-11-04 22:18:06 +0000    43364
2023-11-07 07:01:07 +0000    43060
2023-11-07 18:40:07 +0000    42956
2023-11-08 23:04:35 +0000    43104
2023-11-10 10:36:25 +0000    43376
2023-11-10 23:30:32 +0000    42884
2023-11-11 16:33:31 +0000    43124
                           ·······  
                             -1.8%  
                           ·······  
2023-11-13 22:26:15 +0000    42452
2023-11-14 23:36:08 +0000    42344
2023-11-16 09:40:32 +0000    42404
2023-11-16 21:39:30 +0000    42224
2023-11-17 22:23:21 +0000    42276
2023-11-18 16:51:28 +0000    42112
2023-11-20 19:36:26 +0000    42228
2023-11-21 06:04:33 +0000    42488
2023-11-21 20:56:57 +0000    42356
2023-11-22 20:34:04 +0000    42336
2023-11-23 18:33:10 +0000    42316
2023-11-24 22:10:58 +0000    42344
2023-11-25 16:03:27 +0000    42360
2023-11-25 16:03:27 +0000    42408
2023-11-27 15:55:19 +0000    42416
                           ·······  
                             +2.5%  
                           ·······  
2023-11-29 10:54:20 +0000    43476
2023-11-29 10:54:20 +0000    43424
2023-11-29 20:39:23 +0000    43552
2023-11-29 20:39:23 +0000    43168
2023-11-30 23:59:24 +0000    43472
2023-12-01 17:10:55 +0000    43376
2023-12-02 14:39:39 +0000    43464
2023-12-04 21:39:07 +0000    43492
2023-12-05 18:25:55 +0000    43384
2023-12-06 23:00:48 +0000    43348
2023-12-07 19:11:24 +0000    43136
2023-12-08 14:40:24 +0000    43656
2023-12-09 19:01:56 +0000    43724
2023-12-10 20:56:04 +0000    43344
2023-12-11 23:00:36 +0000    43536
2023-12-12 22:47:36 +0000    43588
2023-12-13 23:19:09 +0000    43788
2023-12-14 23:21:36 +0000    43344
2023-12-15 20:07:05 +0000    43604
2023-12-16 12:15:42 +0000    43472
2023-12-17 22:04:58 +0000    43748
2023-12-18 23:52:23 +0000    43616
2023-12-19 08:55:18 +0000    43552
2023-12-20 19:16:06 +0000    43864
2023-12-21 19:21:24 +0000    43472
2023-12-22 18:18:27 +0000    43396
2023-12-23 11:47:29 +0000    43108
2023-12-24 09:20:22 +0000    43316
2023-12-26 21:12:18 +0000    43476
2024-01-02 18:03:47 +0000    43532
                           ·······  
                             -1.3%  
                           ·······  
2024-01-03 19:37:12 +0000    42892
2024-01-04 21:35:22 +0000    42936
                           ·······  
                             -3.4%  
                           ·······  
2024-01-05 21:51:37 +0000    41396
2024-01-06 06:51:42 +0000    41552
2024-01-07 18:46:30 +0000    41352
2024-01-08 14:02:02 +0000    41252
2024-01-09 18:13:24 +0000    41348
2024-01-10 20:34:58 +0000    41492
2024-01-11 19:29:26 +0000    41260
2024-01-12 21:12:04 +0000    41536
2024-01-13 12:33:30 +0000    41632
2024-01-15 22:57:21 +0000    41408
2024-01-16 23:29:55 +0000    41332
2024-01-17 21:46:07 +0000    41468
2024-01-18 22:50:35 +0000    41388
2024-01-19 17:04:05 +0000    41268
2024-01-20 21:06:44 +0000    41448
2024-01-21 16:02:25 +0000    41548
2024-01-22 23:17:12 +0000    41396
2024-01-23 18:39:06 +0000    41580
2024-01-24 19:56:20 +0000    41644
2024-01-25 20:55:46 +0000    41432
2024-01-26 17:41:03 +0000    41408
2024-01-27 18:05:54 +0000    41472
2024-01-27 18:05:54 +0000    41576
2024-01-27 18:05:54 +0000    41376
